Date,Close_fund,Close_rfr
2011-05-31,283.0,4.45
2011-06-01,280.1,4.45
2011-06-02,275.6,4.45
2011-06-03,272.7,4.45
2011-06-06,275.6,4.45
2011-06-07,275.6,4.46
2011-06-08,271.3,4.47
2011-06-09,274.7,4.65
2011-06-10,275.8,4.66
2011-06-13,270.9,4.66
2011-06-16,287.0,4.67
2011-06-17,279.5,4.66
2011-06-20,277.2,4.66
2011-06-22,284.5,4.68
2011-06-24,277.8,4.68
2011-06-27,280.0,4.69
2011-06-29,286.4,4.71
2011-07-01,287.0,4.7
2011-07-05,287.7,4.7
2011-07-08,287.0,4.69
2011-07-11,280.6,4.7
2011-07-12,280.9,4.7
2011-07-14,285.1,4.7
2011-07-20,282.0,4.71
2011-07-21,284.1,4.71
2011-07-22,284.2,4.71
2011-07-25,287.8,4.7
2011-07-27,285.6,4.71
2011-07-29,278.8,4.71
2011-08-01,274.3,4.71
2011-08-02,268.2,4.71
2011-08-03,263.3,4.71
2011-08-04,252.8,4.72
2011-08-05,251.0,4.71
2011-08-08,240.0,4.71
2011-08-09,237.6,4.73
2011-08-10,229.0,4.72
2011-08-11,224.2,4.72
2011-08-12,242.0,4.72
2011-08-17,241.0,4.71
2011-08-18,231.0,4.71
2011-08-19,226.8,4.72
2011-08-22,226.2,4.71
2011-08-23,225.1,4.72
2011-08-25,231.5,4.72
2011-08-26,223.3,4.72
2011-08-30,229.5,4.72
2011-08-31,236.6,4.72
2011-09-01,231.1,4.72
2011-09-02,225.5,4.72
2011-09-05,215.2,4.72
2011-09-06,215.6,4.72
2011-09-08,222.0,4.73
2011-09-09,217.6,4.74
2011-09-12,215.0,4.74
2011-09-13,219.1,4.74
2011-09-14,217.1,4.75
2011-09-15,234.3,4.75
2011-09-16,235.1,4.76
2011-09-19,240.0,4.76
2011-09-21,236.9,4.76
2011-09-22,227.5,4.75
2011-09-23,221.7,4.76
2011-09-26,229.0,4.76
2011-09-27,239.1,4.76
2011-09-28,240.8,4.76
2011-09-29,240.2,4.76
2011-09-30,236.3,4.76
2011-10-04,223.5,4.76
2011-10-05,227.0,4.75
2011-10-06,241.0,4.76
2011-10-07,243.0,4.76
2011-10-10,247.1,4.75
2011-10-11,248.4,4.75
2011-10-12,249.5,4.75
2011-10-13,248.2,4.75
2011-10-14,250.8,4.76
2011-10-18,250.7,4.76
2011-10-19,251.5,4.77
2011-10-24,258.1,4.87
2011-10-25,258.5,4.89
2011-10-26,258.5,4.89
2011-10-27,264.4,4.89
2011-10-28,269.1,4.9
2011-10-31,265.0,4.91
2011-11-02,255.0,4.92
2011-11-03,261.9,4.91
2011-11-07,255.1,4.92
2011-11-08,256.9,4.93
2011-11-09,250.6,4.93
2011-11-10,252.0,4.93
2011-11-14,261.1,4.94
2011-11-15,251.2,4.94
2011-11-16,254.4,4.94
2011-11-17,253.5,4.94
2011-11-18,251.7,4.95
2011-11-21,241.0,4.94
2011-11-22,245.3,4.94
2011-11-23,240.1,4.94
2011-11-24,239.1,4.96
2011-11-25,236.9,4.96
2011-11-29,254.2,4.96
2011-11-30,257.6,4.97
2011-12-01,266.3,4.97
2011-12-02,269.0,4.97
2011-12-08,258.3,4.98
2011-12-12,260.0,4.98
